Delivery_person_Age,Delivery_person_Ratings,Distance_km,Order_to_pickup_min,multiple_deliveries,Weatherconditions,Road_traffic_density,Type_of_order,Type_of_vehicle,Festival,City,Time_taken(min)
39,4.2,12.580267822400963,15.0,1,fog,jam,snack,scooter,no,semi-urban,49
36,4.7,9.435201537430714,5.0,1,cloudy,jam,snack,motorcycle,no,metropolitian,30
25,4.8,11.916582838288104,10.0,0,sandstorms,low,drinks,scooter,no,urban,18
33,4.9,4.663566689152146,5.0,0,sunny,jam,drinks,scooter,no,metropolitian,22
30,4.4,10.641157729337541,15.0,1,cloudy,low,drinks,scooter,no,metropolitian,34
33,5.0,16.818368923732613,5.0,0,sandstorms,low,buffet,motorcycle,no,urban,24
36,4.9,6.128551257919138,15.0,1,fog,medium,drinks,scooter,no,metropolitian,17
21,4.8,2.996250036665907,10.0,0,sandstorms,low,meal,electric_scooter,no,metropolitian,14
39,4.9,7.342175722857793,5.0,1,stormy,jam,meal,motorcycle,no,metropolitian,30
23,4.8,3.145067434621583,10.0,1,stormy,low,meal,scooter,no,metropolitian,15
35,4.8,6.29013467763468,10.0,1,fog,medium,buffet,scooter,no,urban,16
39,4.6,13.972123977178622,5.0,1,cloudy,jam,snack,scooter,no,metropolitian,36
22,4.7,6.081440797008078,5.0,1,sunny,high,buffet,scooter,no,urban,18
32,4.6,6.080891507842322,15.0,0,fog,medium,meal,scooter,no,metropolitian,17
24,4.8,12.580267822400963,5.0,1,sandstorms,low,buffet,motorcycle,no,urban,15
29,4.7,3.145067434621583,10.0,1,fog,low,buffet,motorcycle,no,metropolitian,17
26,4.7,9.220373067021216,0.0,0,fog,low,buffet,motorcycle,no,metropolitian,10
20,4.5,7.8626681674103684,15.0,1,fog,jam,drinks,motorcycle,no,metropolitian,27
35,4.1,13.96960642768458,15.0,2,sandstorms,jam,buffet,motorcycle,no,metropolitian,37
39,4.6,13.973206773137713,10.0,2,fog,jam,drinks,scooter,no,metropolitian,44
34,4.7,6.058853851669116,10.0,1,windy,high,drinks,electric_scooter,no,metropolitian,28
27,4.7,17.07799287216204,15.0,1,cloudy,jam,snack,scooter,no,metropolitian,42
30,4.8,17.29786575291325,15.0,1,windy,low,snack,motorcycle,no,metropolitian,25
25,4.4,17.072871906399556,5.0,1,cloudy,medium,snack,scooter,no,metropolitian,39
25,4.7,16.818368923732613,5.0,0,stormy,medium,meal,motorcycle,no,urban,20
30,5.0,2.979502850576494,5.0,1,stormy,high,buffet,motorcycle,no,metropolitian,31
24,4.6,9.22086597503784,10.0,0,stormy,jam,buffet,motorcycle,no,metropolitian,13
25,4.8,6.1755160934059985,5.0,1,windy,high,snack,scooter,no,urban,19
37,4.6,12.209856560906529,15.0,2,fog,low,buffet,motorcycle,yes,urban,42
24,5.0,1.5526813140972442,5.0,1,fog,low,drinks,motorcycle,no,metropolitian,23
25,4.2,16.902806732498032,15.0,1,stormy,jam,meal,motorcycle,no,metropolitian,39
32,4.6,1.5093577696337532,10.0,1,stormy,low,drinks,motorcycle,no,metropolitian,25
34,4.7,6048.631240095335,5.0,0,sandstorms,low,drinks,scooter,no,metropolitian,15
38,4.9,3.0251186390184004,15.0,1,cloudy,low,drinks,scooter,no,urban,15
36,4.8,13.407092693002484,5.0,0,sunny,medium,buffet,electric_scooter,no,metropolitian,15
29,5.0,7.772343594464245,5.0,0,sunny,low,drinks,motorcycle,no,metropolitian,18
36,4.7,13.773737657079298,10.0,0,sandstorms,low,drinks,electric_scooter,no,metropolitian,29
33,4.7,7.790158927084966,5.0,0,fog,low,snack,motorcycle,no,metropolitian,20
36,4.4,6.217834398578936,15.0,1,cloudy,high,meal,scooter,no,metropolitian,39
21,4.8,16.852834881460105,15.0,0,windy,low,snack,motorcycle,no,metropolitian,19
25,4.8,4.610035602260694,0.0,1,cloudy,low,snack,scooter,no,urban,19
23,4.8,19.879870677373706,10.0,0,windy,low,meal,motorcycle,no,metropolitian,17
25,4.6,1.5580833985948437,15.0,1,stormy,low,snack,motorcycle,no,urban,15
24,4.3,3.025332706173566,15.0,0,sandstorms,low,meal,motorcycle,no,urban,19
27,4.6,13.97194896017493,15.0,1,sandstorms,jam,buffet,motorcycle,no,metropolitian,29
23,4.8,16.830905551931956,5.0,1,cloudy,low,snack,scooter,no,urban,22
21,4.3,20.207797933358158,10.0,0,fog,jam,drinks,scooter,no,metropolitian,42
27,4.7,3.040641621538495,15.0,0,sandstorms,low,snack,scooter,no,urban,12
32,4.2,20.253785359470783,10.0,1,cloudy,jam,snack,motorcycle,no,metropolitian,38
25,4.6,16.72129600980331,15.0,1,sunny,low,drinks,motorcycle,no,metropolitian,23
39,4.7,2.9845507897866907,15.0,0,cloudy,low,meal,scooter,no,metropolitian,15
27,4.6,12.16145053143676,5.0,1,sunny,low,snack,motorcycle,no,metropolitian,24
39,3.8,16.822155609317257,5.0,0,windy,jam,drinks,motorcycle,no,metropolitian,37
31,4.8,7.762556904358444,10.0,0,sandstorms,low,snack,scooter,no,metropolitian,24
31,4.8,9.055855161965923,5.0,0,sunny,low,buffet,electric_scooter,no,metropolitian,13
36,4.9,12.074047498027575,10.0,1,cloudy,medium,drinks,motorcycle,no,urban,42
20,4.9,13.580373876280879,10.0,1,sandstorms,low,meal,motorcycle,no,metropolitian,17
24,4.6,4.469620875558295,15.0,0,cloudy,jam,drinks,motorcycle,no,metropolitian,25
39,4.2,16.634870118211836,5.0,0,fog,medium,snack,scooter,no,metropolitian,39
37,4.8,6.232139486668102,10.0,0,sunny,high,meal,scooter,no,metropolitian,18
32,4.9,6.209021101535612,10.0,1,sandstorms,medium,drinks,motorcycle,no,metropolitian,28
22,4.5,7.460830127736633,15.0,1,sandstorms,low,drinks,scooter,no,metropolitian,18
23,4.9,20.253785359470783,15.0,0,windy,low,meal,scooter,no,metropolitian,18
33,4.7,16.600975700594585,10.0,1,fog,jam,snack,scooter,no,metropolitian,49
27,4.6,12.421212735966003,5.0,1,sunny,low,drinks,motorcycle,no,metropolitian,21
34,4.7,6.1187118466897275,15.0,0,sunny,high,snack,scooter,no,metropolitian,23
26,5.0,1.520431947999248,10.0,1,fog,low,meal,scooter,no,urban,11
31,4.6,9.087972744661085,15.0,0,cloudy,jam,snack,motorcycle,no,metropolitian,25
32,4.9,3.0644871057616707,5.0,0,fog,low,snack,motorcycle,no,metropolitian,18
27,4.7,3.025144329113595,5.0,0,cloudy,low,buffet,motorcycle,no,metropolitian,14
21,4.9,13.973206773137713,15.0,2,windy,medium,drinks,motorcycle,no,metropolitian,36
24,4.9,6.29013467763468,15.0,1,fog,medium,meal,scooter,no,urban,17
33,4.4,1.5368503798521727,10.0,1,sandstorms,low,snack,motorcycle,no,metropolitian,28
20,4.6,13.97317756157655,15.0,0,fog,jam,buffet,motorcycle,yes,metropolitian,44
31,4.3,9.348403522662325,15.0,1,windy,low,snack,motorcycle,no,metropolitian,20
36,5.0,10.602467987619507,10.0,1,fog,jam,snack,motorcycle,no,metropolitian,35
31,4.2,17.076258901183188,10.0,1,sandstorms,jam,meal,motorcycle,no,metropolitian,50
39,4.1,9.22083460710881,5.0,1,stormy,jam,meal,scooter,no,metropolitian,34
29,4.6,6.080882967594328,10.0,0,sandstorms,high,snack,scooter,no,urban,23
37,4.9,4.67414369897644,10.0,1,fog,medium,buffet,motorcycle,no,metropolitian,27
33,4.7,6.29013467763468,10.0,0,cloudy,high,snack,motorcycle,no,urban,26
31,3.9,10.709003371535417,10.0,1,cloudy,low,buffet,scooter,no,metropolitian,35
37,4.6,6.29013467763468,5.0,1,windy,high,drinks,motorcycle,no,urban,41
24,4.6,17.137482577838597,10.0,0,stormy,medium,snack,motorcycle,no,metropolitian,30
23,4.8,3.145067434621583,10.0,1,windy,low,buffet,scooter,no,metropolitian,19
36,4.9,1.572533729286321,15.0,1,windy,low,buffet,scooter,no,metropolitian,27
39,4.8,6.21800234869445,15.0,1,cloudy,high,snack,motorcycle,no,metropolitian,28
20,4.7,12.463883024166657,10.0,1,sandstorms,medium,drinks,motorcycle,no,metropolitian,24
20,5.0,20.20658151050797,15.0,1,cloudy,jam,meal,motorcycle,no,urban,36
29,4.3,9.081116432461174,5.0,0,sandstorms,low,buffet,motorcycle,no,metropolitian,28
36,4.8,17.138077427627866,5.0,1,fog,medium,drinks,motorcycle,no,urban,31
36,4.0,13.631343698142908,5.0,3,sunny,jam,meal,motorcycle,no,metropolitian,44
22,4.8,12.074063090452917,15.0,1,windy,low,drinks,scooter,no,metropolitian,15
38,4.4,10.723264172167632,5.0,1,windy,medium,buffet,motorcycle,no,metropolitian,33
39,4.9,7.600994631258685,15.0,0,fog,jam,buffet,motorcycle,no,metropolitian,30
24,4.9,7.562982485200135,10.0,1,stormy,medium,snack,scooter,no,metropolitian,22
30,4.1,11.007734763744617,0.0,0,fog,low,snack,motorcycle,no,metropolitian,43
35,4.8,13.829314445199353,10.0,3,fog,medium,meal,motorcycle,no,metropolitian,48
33,4.5,13.969116967730173,0.0,1,stormy,low,drinks,electric_scooter,no,metropolitian,19
39,4.7,10.92326745824626,5.0,1,windy,medium,snack,motorcycle,no,urban,21
31,4.3,12.117036432265502,10.0,0,windy,jam,drinks,motorcycle,no,metropolitian,44
37,4.5,1.5525704156536744,15.0,0,windy,low,drinks,scooter,no,metropolitian,26
37,4.7,4.663566689152146,5.0,1,windy,low,buffet,scooter,no,metropolitian,26
33,5.0,1.5294972211332267,5.0,1,windy,high,meal,motorcycle,no,metropolitian,31
24,4.6,9.435201537430714,15.0,1,stormy,low,meal,scooter,no,urban,19
33,4.5,11.916757259074618,5.0,0,sunny,jam,snack,scooter,no,metropolitian,18
39,4.7,10.486117701549256,15.0,1,fog,medium,meal,motorcycle,no,metropolitian,38
37,4.6,13.583078662317007,10.0,1,cloudy,medium,snack,motorcycle,no,metropolitian,32
25,4.9,7.6831914051315,5.0,1,sandstorms,low,meal,scooter,no,metropolitian,17
28,4.8,9.193093962702912,5.0,1,fog,medium,buffet,scooter,no,urban,11
38,4.7,6.2178836475581045,10.0,1,windy,high,buffet,motorcycle,no,metropolitian,31
31,4.6,9.326872529115304,10.0,0,windy,medium,meal,motorcycle,no,metropolitian,25
25,4.8,9.179538450826048,15.0,1,cloudy,jam,snack,motorcycle,no,metropolitian,22
35,4.9,10.880651848535559,5.0,3,fog,jam,drinks,motorcycle,no,metropolitian,43
39,4.7,10.565262855251525,10.0,1,fog,jam,buffet,motorcycle,yes,metropolitian,42
38,3.9,12.100062421152574,10.0,0,stormy,jam,meal,motorcycle,no,metropolitian,42
35,4.7,4.657159718107683,10.0,1,fog,jam,drinks,motorcycle,no,metropolitian,34
29,4.7,2.9812178551917965,15.0,1,sandstorms,low,snack,motorcycle,no,metropolitian,17
27,4.6,4.56126563284071,5.0,0,stormy,jam,snack,scooter,no,metropolitian,25
38,4.3,13.989916877275611,10.0,1,sandstorms,jam,meal,motorcycle,yes,semi-urban,54
36,4.9,10.64228895373868,15.0,0,windy,low,buffet,motorcycle,no,metropolitian,21
26,4.1,13.428477357470895,5.0,1,fog,jam,meal,motorcycle,no,metropolitian,36
36,4.9,9.32728515796102,10.0,0,sunny,medium,drinks,motorcycle,no,metropolitian,17
21,4.7,1.489792976782627,10.0,1,sunny,low,meal,motorcycle,no,metropolitian,16
35,4.7,12.418394742110447,5.0,1,sunny,jam,meal,electric_scooter,no,metropolitian,27
20,4.5,6.217860689144307,5.0,1,fog,high,meal,motorcycle,no,metropolitian,26
23,4.6,13.787803344501583,15.0,2,fog,jam,snack,motorcycle,yes,metropolitian,46
37,5.0,9.080187058763224,10.0,0,sunny,jam,buffet,motorcycle,no,metropolitian,29
26,4.8,9.31544163550089,5.0,1,sandstorms,jam,snack,motorcycle,no,metropolitian,23
26,4.9,16.636875038860897,15.0,0,stormy,medium,snack,motorcycle,no,metropolitian,28
29,4.8,9.19295116708344,5.0,1,cloudy,jam,meal,motorcycle,no,metropolitian,25
29,4.7,3.0182264849996012,15.0,0,sandstorms,low,snack,motorcycle,no,metropolitian,11
21,4.9,4.395420246829376,10.0,1,windy,medium,meal,scooter,no,metropolitian,26
22,4.3,3.109059104393369,15.0,1,stormy,low,meal,motorcycle,no,metropolitian,23
31,4.0,11.916582838288104,15.0,2,fog,medium,snack,motorcycle,no,metropolitian,39
36,4.8,10.868263117988388,15.0,1,fog,medium,snack,motorcycle,no,metropolitian,43
32,4.7,1.554424975889475,10.0,0,windy,low,buffet,electric_scooter,no,metropolitian,25
25,5.0,9.313017158714828,5.0,0,windy,medium,drinks,motorcycle,no,metropolitian,27
27,4.5,6.147106622705506,15.0,1,windy,medium,drinks,scooter,no,metropolitian,29
32,4.1,10.867300462045835,15.0,1,sandstorms,medium,buffet,motorcycle,no,metropolitian,33
23,4.7,6.209259882041872,5.0,1,fog,medium,drinks,motorcycle,no,urban,19
39,4.4,20.18085916835158,5.0,1,sunny,medium,meal,motorcycle,no,metropolitian,33
20,4.8,9.435201537430714,5.0,1,fog,jam,snack,motorcycle,no,metropolitian,28
29,4.6,4.494291162003504,15.0,1,stormy,jam,meal,scooter,no,metropolitian,29
26,4.9,20.85172635753384,5.0,1,stormy,low,meal,scooter,no,metropolitian,18
25,5.0,1.5605734793807475,5.0,1,stormy,low,meal,motorcycle,no,metropolitian,14
34,4.7,6.210589610314177,15.0,1,windy,medium,snack,motorcycle,no,metropolitian,30
31,4.9,6.17528357530834,15.0,0,sunny,high,snack,motorcycle,no,metropolitian,28
24,4.7,20.44292976252901,5.0,1,fog,jam,snack,motorcycle,no,metropolitian,39
30,4.9,13.830084721845328,15.0,0,cloudy,medium,meal,motorcycle,no,metropolitian,30
36,4.8,19.37374583495492,5.0,1,sandstorms,medium,buffet,motorcycle,no,metropolitian,36
26,4.7,20.851557402660557,5.0,1,cloudy,jam,meal,motorcycle,no,metropolitian,43
20,4.8,4.717601092054723,15.0,1,stormy,medium,drinks,scooter,no,metropolitian,25
33,4.7,7.76260023979039,15.0,1,fog,medium,buffet,electric_scooter,no,urban,15
34,4.0,13.76685500858734,5.0,2,windy,jam,snack,motorcycle,no,metropolitian,39
36,4.6,12.293677673573285,10.0,1,windy,low,buffet,motorcycle,no,metropolitian,20
33,4.6,2.9846372692856606,10.0,1,fog,low,buffet,motorcycle,no,metropolitian,15
22,4.8,16.78827586251448,15.0,1,sandstorms,low,drinks,motorcycle,no,metropolitian,16
38,4.7,1.5320227740641719,15.0,1,sunny,low,drinks,scooter,no,metropolitian,19
27,4.9,12.421407858787804,15.0,0,fog,low,drinks,scooter,no,metropolitian,20
32,4.8,10.444776155165918,10.0,1,sunny,jam,meal,scooter,no,metropolitian,25
26,4.8,12.42075005031367,10.0,1,cloudy,jam,snack,motorcycle,no,metropolitian,43
29,4.5,19.659373527443684,10.0,0,windy,low,drinks,motorcycle,no,urban,15
31,4.5,12.46418980459368,15.0,0,sunny,jam,buffet,motorcycle,no,urban,29
28,4.6,6.1462436583934315,15.0,0,stormy,high,drinks,motorcycle,no,metropolitian,14
21,4.8,8.92908688893574,5.0,1,sunny,medium,buffet,motorcycle,no,metropolitian,11
30,4.9,12.580267822400963,10.0,1,windy,low,drinks,motorcycle,no,metropolitian,29
29,4.7,5.992096714696517,5.0,1,cloudy,medium,buffet,motorcycle,no,urban,11
20,4.8,1.5297232853100244,10.0,0,sunny,high,snack,motorcycle,no,metropolitian,14
28,5.0,13.73594217639692,10.0,0,windy,low,snack,motorcycle,no,urban,15
25,4.7,10.705559922396555,10.0,1,sandstorms,low,meal,motorcycle,no,metropolitian,16
38,4.8,3.1048037532854496,5.0,1,stormy,low,buffet,motorcycle,no,metropolitian,20
39,4.9,4.610073053799191,10.0,1,stormy,low,drinks,motorcycle,no,metropolitian,26
26,4.9,9.122100805601145,5.0,0,windy,medium,snack,scooter,no,metropolitian,26
33,4.4,10.906036622245484,15.0,0,windy,jam,meal,motorcycle,no,urban,43
24,4.6,9.08801379933047,10.0,1,sandstorms,medium,snack,motorcycle,no,urban,25
24,4.9,6.232303380306801,10.0,1,fog,medium,buffet,motorcycle,no,metropolitian,28
33,4.5,13.611566722125085,15.0,0,stormy,low,buffet,scooter,no,metropolitian,17
35,4.2,13.611428630407849,10.0,1,windy,jam,drinks,motorcycle,no,metropolitian,44
27,4.2,13.763896210757977,5.0,1,stormy,jam,buffet,motorcycle,no,metropolitian,33
29,4.5,4.657591594952301,5.0,0,sunny,medium,snack,motorcycle,no,metropolitian,15
34,4.7,19.34348721744278,10.0,1,fog,low,buffet,scooter,no,metropolitian,27
20,4.7,2.9845125598688362,15.0,1,cloudy,high,meal,scooter,no,metropolitian,25
29,4.8,6.058876303739157,5.0,1,sunny,high,drinks,motorcycle,no,metropolitian,18
22,4.9,9.088084092164259,5.0,0,stormy,medium,snack,scooter,no,metropolitian,21
35,4.9,10.41706579035871,15.0,2,cloudy,jam,buffet,motorcycle,no,metropolitian,53
32,4.4,17.164833902684475,10.0,3,sandstorms,jam,drinks,motorcycle,no,metropolitian,42
28,4.9,16.11387241182587,15.0,1,sunny,jam,snack,motorcycle,no,metropolitian,20
30,4.7,20.253686339517458,10.0,0,fog,low,meal,scooter,no,metropolitian,29
22,4.7,17.076258901183188,10.0,0,stormy,jam,snack,scooter,no,urban,15
36,4.7,7.79036212453358,15.0,1,fog,medium,buffet,motorcycle,no,metropolitian,30
23,4.8,19.76218981785925,5.0,1,windy,jam,snack,motorcycle,no,metropolitian,28
29,4.5,19.8395614419349,10.0,1,sandstorms,low,meal,motorcycle,no,metropolitian,15
34,4.9,17.07559440107296,15.0,3,sandstorms,jam,buffet,motorcycle,yes,urban,50
38,4.1,1.5527001159059903,5.0,1,stormy,high,buffet,motorcycle,yes,metropolitian,41
35,5.0,11.007734763744617,10.0,1,fog,medium,snack,motorcycle,no,metropolitian,37
38,4.7,9.435201537430714,15.0,1,cloudy,jam,drinks,scooter,no,metropolitian,28
32,4.3,10.280572823486576,15.0,2,cloudy,medium,meal,scooter,no,metropolitian,35
20,4.5,10.867300462045835,10.0,1,windy,jam,buffet,motorcycle,no,metropolitian,27
25,4.9,12.417687564200063,5.0,2,fog,jam,buffet,motorcycle,no,metropolitian,43
32,4.7,6047.919477618646,15.0,1,sandstorms,jam,meal,scooter,no,metropolitian,31
39,4.1,20.44292976252901,5.0,2,cloudy,jam,drinks,motorcycle,no,metropolitian,39
31,4.4,16.660108123693192,5.0,1,stormy,jam,buffet,motorcycle,no,urban,47
37,4.5,7.601385733164932,5.0,1,fog,low,buffet,motorcycle,no,urban,26
36,4.9,13.183763612802814,15.0,1,cloudy,medium,snack,electric_scooter,no,metropolitian,31
37,3.8,20.856833724898493,10.0,1,sandstorms,jam,snack,motorcycle,no,metropolitian,42
37,4.4,11.90486548713048,10.0,1,sandstorms,jam,drinks,motorcycle,no,metropolitian,39
35,4.9,4.469362226704516,5.0,0,fog,medium,meal,electric_scooter,no,metropolitian,18
22,4.8,13.40635545530559,15.0,1,sandstorms,jam,snack,scooter,no,urban,22
28,4.8,3.073644027723396,15.0,1,fog,low,buffet,motorcycle,no,metropolitian,23
39,4.0,20.20658151050797,10.0,0,stormy,medium,drinks,motorcycle,no,metropolitian,48
29,4.5,12.419724873245404,15.0,0,windy,low,snack,scooter,no,urban,13
39,4.6,3.104803710518419,10.0,1,sandstorms,high,drinks,motorcycle,no,metropolitian,32
25,4.9,20.20631641648197,5.0,0,sandstorms,jam,snack,electric_scooter,no,urban,16
34,5.0,4.6741517745550425,5.0,0,cloudy,medium,snack,electric_scooter,no,urban,19
22,4.8,3.1053699758611546,5.0,1,sunny,low,drinks,motorcycle,no,metropolitian,18
27,5.0,10.444390862228435,10.0,1,windy,jam,buffet,motorcycle,no,metropolitian,27
28,4.5,10.710903359654202,10.0,1,sunny,medium,drinks,motorcycle,no,urban,25
32,5.0,4.674393132741051,15.0,1,stormy,medium,drinks,scooter,no,metropolitian,31
27,4.6,10.756697879102619,5.0,0,sunny,medium,snack,motorcycle,no,metropolitian,20
35,3.9,12.23656153955492,15.0,2,windy,jam,snack,motorcycle,no,metropolitian,38
22,4.6,4.663658229921789,5.0,1,windy,low,buffet,motorcycle,no,metropolitian,19
35,4.7,4.717601092054723,10.0,1,sunny,jam,drinks,electric_scooter,no,metropolitian,17
30,4.6,1.5148048951935007,15.0,0,cloudy,low,buffet,motorcycle,no,urban,24
39,4.8,3.1089883297657854,5.0,1,fog,high,drinks,scooter,no,urban,26
33,4.8,9.219905581616992,10.0,1,sandstorms,medium,meal,motorcycle,no,metropolitian,28
20,4.7,12.256687342592269,5.0,1,sandstorms,medium,snack,scooter,no,urban,16
20,4.7,4.717601092054723,10.0,0,fog,medium,buffet,motorcycle,no,urban,17
34,4.2,9.326940869812143,5.0,0,windy,low,snack,motorcycle,no,urban,24
37,4.3,2.9802493849187557,10.0,1,stormy,high,meal,scooter,no,metropolitian,34
20,4.8,1.5302594894332384,15.0,1,cloudy,low,snack,motorcycle,no,urban,16
33,4.9,7.601614738321588,10.0,1,windy,low,drinks,motorcycle,no,metropolitian,26
21,5.0,19.660943947619934,5.0,1,fog,medium,drinks,motorcycle,no,metropolitian,25
33,4.6,10.602417764362079,15.0,2,fog,medium,meal,motorcycle,no,metropolitian,49
24,4.6,12.41960204102968,10.0,0,windy,medium,snack,electric_scooter,no,urban,24
36,4.7,3.145067434621583,10.0,2,sandstorms,high,meal,scooter,no,metropolitian,32
30,4.6,4.588898780683796,10.0,1,sunny,medium,buffet,motorcycle,no,metropolitian,26
32,4.9,13.829931792649827,0.0,1,sandstorms,low,buffet,scooter,no,metropolitian,24
28,4.6,19.975808791439345,5.0,0,stormy,jam,drinks,electric_scooter,no,metropolitian,16
21,4.7,19.37374583495492,10.0,1,windy,jam,drinks,scooter,no,metropolitian,27
39,4.9,3.052706857073023,5.0,1,fog,high,drinks,motorcycle,no,metropolitian,25
32,4.7,3.104803710518419,10.0,0,cloudy,low,drinks,motorcycle,no,metropolitian,26
20,4.5,9.178605957040862,5.0,1,sandstorms,jam,buffet,scooter,no,urban,25
36,5.0,1.4901538808207615,5.0,1,fog,low,meal,scooter,no,urban,15
28,4.8,3.1053645449072986,5.0,1,sunny,low,buffet,scooter,no,urban,18
32,4.5,7.661250453808297,5.0,1,fog,jam,buffet,motorcycle,no,metropolitian,30
39,4.4,17.076258901183188,15.0,1,cloudy,jam,drinks,scooter,no,metropolitian,46
30,4.7,16.72143013885536,5.0,1,windy,low,drinks,motorcycle,no,metropolitian,24
32,4.4,6.12841937845769,5.0,1,sandstorms,medium,drinks,motorcycle,no,metropolitian,37
23,4.6,13.610877575672198,5.0,1,windy,jam,snack,motorcycle,no,metropolitian,27
